,track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
184,Invisible String,Taylor Swift,37,37,2,85,False,2020-08-15 00:00:00,hot-100
13768,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,0,1,69,True,2018-01-06 00:00:00,hot-100
63390,Last Time,Trey Songz,69,95,13,91,False,2008-07-12 00:00:00,hot-100
76385,Presidential,YoungBloodZ,81,93,12,86,False,2006-01-14 00:00:00,hot-100
65598,Firecracker,Josh Turner,50,84,20,99,False,2008-02-09 00:00:00,hot-100
9679,Belly,Lil Baby & Gunna,80,0,1,80,True,2018-10-20 00:00:00,hot-100
64497,Got Me Going,DAY26,79,87,3,98,False,2008-04-26 00:00:00,hot-100
23792,Gonna Know We Were Here,Jason Aldean,54,74,16,93,False,2016-02-13 00:00:00,hot-100
53380,Leave Right Now,Will Young,81,0,1,81,True,2010-06-12 00:00:00,hot-100
40444,Hard To Love,Lee Brice,27,34,23,45,False,2012-12-01 00:00:00,hot-100
12268,Tell Me You Love Me,Demi Lovato,53,62,20,69,False,2018-04-21 00:00:00,hot-100
29555,About The Money,T.I. Featuring Young Thug,42,50,20,56,False,2015-01-03 00:00:00,hot-100
49288,Someone Else Calling You Baby,Luke Bryan,56,73,20,89,False,2011-03-26 00:00:00,hot-100
2372,Lil Top,YoungBoy Never Broke Again,28,28,2,73,False,2020-03-14 00:00:00,hot-100
20299,No Shopping,French Montana Featuring Drake,36,98,11,100,False,2016-10-15 00:00:00,hot-100
1339,Heart On Ice,Rod Wave,25,46,27,40,False,2020-05-23 00:00:00,hot-100
6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,7,9,7,False,2020-08-22 00:00:00,hot-100
8,Go Crazy,Chris Brown & Young Thug,9,9,14,9,False,2020-08-22 00:00:00,hot-100
31995,Keep Them Kisses Comin',Craig Campbell,72,79,10,96,False,2014-07-19 00:00:00,hot-100
4645,Speechless,Dan + Shay,24,46,40,46,False,2019-10-05 00:00:00,hot-100
11696,Outside Today,YoungBoy Never Broke Again,31,80,19,97,False,2018-06-02 00:00:00,hot-100
41189,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,84,88,9,90,False,2012-10-13 00:00:00,hot-100
42598,So Good,B.o.B,11,94,18,99,False,2012-07-07 00:00:00,hot-100
17682,Jorja Interlude,Drake,49,49,2,83,False,2017-04-15 00:00:00,hot-100
59870,Tonight,Jonas Brothers,8,89,4,71,False,2009-03-14 00:00:00,hot-100
40997,Just What I Am,Kid Cudi Featuring King Chip,74,74,2,98,False,2012-10-27 00:00:00,hot-100
18740,I Hate U I Love U,gnash Featuring Olivia O'Brien,10,33,39,41,False,2017-01-28 00:00:00,hot-100
11361,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,62,0,1,62,True,2018-06-23 00:00:00,hot-100
50976,Cannibal,Ke$ha,77,0,1,77,True,2010-11-27 00:00:00,hot-100
27053,Chains,Nick Jonas,13,43,20,54,False,2015-06-27 00:00:00,hot-100
63999,Falsetto,The-Dream,30,88,19,100,False,2008-05-31 00:00:00,hot-100
46097,Quickie,Miguel,62,93,14,98,False,2011-11-05 00:00:00,hot-100
39343,Clique,"Kanye West, Jay-Z, Big Sean",12,39,22,44,False,2013-02-16 00:00:00,hot-100
48088,1+1,Beyonce,57,57,2,89,False,2011-06-18 00:00:00,hot-100
34873,Mine Would Be You,Blake Shelton,28,63,20,74,False,2013-12-28 00:00:00,hot-100
32348,Story Of My Life,One Direction,6,44,32,49,False,2014-06-21 00:00:00,hot-100
46789,Nightmares Of The Bottom,Lil Wayne,90,0,1,90,True,2011-09-17 00:00:00,hot-100
63992,No Matter What,T.I.,72,72,2,93,False,2008-05-31 00:00:00,hot-100
13286,Emoji A Chain,Migos,87,0,1,87,True,2018-02-10 00:00:00,hot-100
44399,Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,100,0,1,100,True,2012-03-03 00:00:00,hot-100
38789,So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",90,0,1,90,True,2013-03-30 00:00:00,hot-100
32285,Empire,Shakira,58,81,12,86,False,2014-06-28 00:00:00,hot-100
51464,Papa Can You Hear Me?,Glee Cast,65,0,1,65,True,2010-10-23 00:00:00,hot-100
57596,D.O.A. (Death Of Auto-Tune),JAY-Z,24,86,7,97,False,2009-08-22 00:00:00,hot-100
69880,Dashboard,Modest Mouse,61,69,6,81,False,2007-04-14 00:00:00,hot-100
68496,G.N.O. (Girl's Night Out),Miley Cyrus,91,91,2,97,False,2007-07-21 00:00:00,hot-100
74494,Say Somethin',Mariah Carey Featuring Snoop Dogg,79,79,5,95,False,2006-05-27 00:00:00,hot-100
71587,The Kill (Bury Me),30 Seconds To Mars,65,83,20,88,False,2006-12-16 00:00:00,hot-100
39493,Til My Last Day,Justin Moore,51,85,20,94,False,2013-02-09 00:00:00,hot-100
26595,Lord Knows,Meek Mill,88,88,2,96,False,2015-08-01 00:00:00,hot-100
47796,So In Love,Jill Scott Featuring Anthony Hamilton,97,0,1,97,True,2011-07-09 00:00:00,hot-100
33979,Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,80,0,1,80,True,2014-03-01 00:00:00,hot-100
7785,365,Zedd & Katy Perry,86,0,1,86,True,2019-03-02 00:00:00,hot-100
13985,Untouchable,Eminem,86,0,1,86,True,2017-12-30 00:00:00,hot-100
62198,If I Never See Your Face Again,Maroon 5 Featuring Rihanna,51,90,20,99,False,2008-10-04 00:00:00,hot-100
564,West Coast Shit,Pop Smoke Featuring Tyga & Quavo,65,0,1,65,True,2020-07-18 00:00:00,hot-100
40873,Pontoon,Little Big Town,22,67,20,74,False,2012-11-03 00:00:00,hot-100
46995,On My Level,Wiz Khalifa Featuring Too $hort,52,88,9,96,False,2011-09-03 00:00:00,hot-100
37885,If I Didn't Have You,Thompson Square,49,71,20,86,False,2013-06-01 00:00:00,hot-100
37989,Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,90,0,1,90,True,2013-05-25 00:00:00,hot-100
54393,American Saturday Night,Brad Paisley,67,82,15,94,False,2010-04-03 00:00:00,hot-100
15279,Found You,Kane Brown,80,0,1,80,True,2017-09-30 00:00:00,hot-100
66897,Potential Breakup Song,Aly & AJ,17,0,17,98,False,2007-11-10 00:00:00,hot-100
40370,Just A Fool,Christina Aguilera With Blake Shelton,71,92,2,71,False,2012-12-08 00:00:00,hot-100
51692,Bittersweet,Fantasia,74,84,12,93,False,2010-10-09 00:00:00,hot-100
57,Greece,DJ Khaled Featuring Drake,8,56,4,58,False,2020-08-22 00:00:00,hot-100
60374,Roll With Me,Montgomery Gentry,33,60,20,75,False,2009-02-07 00:00:00,hot-100
44555,Human Nature,Glee Cast,56,0,1,56,True,2012-02-18 00:00:00,hot-100
35883,Furthest Thing,Drake,56,56,2,84,False,2013-10-19 00:00:00,hot-100
